,Compound_Score,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Time,Tweets,Tweets_Ago
90,0.0,0.0,1.0,0.0,BBC,2018-04-05 11:01:08+00:00,"📚 A biography about conjoined twins from Siam who became US slave-owners + 9 other books to bury your nose in this April. 
👉 https://t.co/XbvuSSmzkf https://t.co/uCOXfzZXpo",91
91,0.0,0.0,1.0,0.0,BBC,2018-04-05 10:26:16+00:00,RT @BBCSport: Scotland's Hannah Miley takes the silver in the women's 400m individual medley! 🥈 https://t.co/GrailyYrno #bbcgoldcoast https…,92
92,0.4215,0.0,0.797,0.203,BBC,2018-04-05 10:22:47+00:00,😍🐿 A trio of baby red squirrels have been rescued in Perthshire.  https://t.co/d2r7c8EyUh,93
93,0.6027,0.0,0.843,0.157,BBC,2018-04-05 10:03:28+00:00,"RT @BBCBreakfast: Some GOOD plastic news!
Marine conservationists say the 5p carrier bag charge has reduced the amount of single use plasti…",94
94,0.0,0.0,1.0,0.0,BBC,2018-04-05 09:55:45+00:00,"RT @BBCRadio2: What happens when you put one harp, three fiddles, and the cream of the folk world in one room?

We brought together @elizac…",95
95,0.2023,0.0,0.924,0.076,BBC,2018-04-05 09:53:47+00:00,"RT @BBCRadio4: Is @Youtube a form of folk art?
The #Unpopped podcast looks at the rise and dominance of YouTube and YouTubers with @sophieh…",96
96,0.3164,0.0,0.906,0.094,BBC,2018-04-05 09:52:41+00:00,"RT @bbcasiannetwork: 🚫It's your last chance to apply for placements at @BBCR1 @1Xtra and Asian Network in our Where It Begins Scheme! 🚫
Wha…",97
97,0.0,0.0,1.0,0.0,BBC,2018-04-05 09:44:41+00:00,"RT @bbcthree: ""Let me guess, your name is Singh?"" and other things not to say to Sikh people. https://t.co/tZLfWssxez",98
98,-0.128,0.091,0.909,0.0,BBC,2018-04-05 09:06:05+00:00,"RT @BBCSport: It was a tough day in the office for this Cypriot gymnast.

#bbcgoldcoast #GC2018 https://t.co/Xmt9bgMyeQ",99
99,-0.4003,0.114,0.886,0.0,BBC,2018-04-05 08:57:48+00:00,"RT @bbcweather: *Public service announcement*
Ladies and gentlemen DO NOT be alarmed! I've checked through our 'big book of weather', and I…",100
100,0.7405,0.037,0.835,0.127,CBS,2018-04-09 15:00:00+00:00,"Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved country music star with this fun quiz! Plus, watch her take the stage as host at the 53rd #ACMawards on Sunday, April 15 at 8/7c on CBS and CBS All Access. https://t.co/7uBF2kLTsB",1
101,0.6239,0.0,0.883,0.117,CBS,2018-04-09 13:36:00+00:00,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single live at the 53rd #ACMawards on April 15 at 8/7c on CBS and CBS All Access: https://t.co/jLrPw2viR7 https://t.co/WrZUnCYGqZ,2
